x1,y1,x2,y2
114.501,277.322,248.162,258.585
112.997,264.284,248.472,257.776
110.868,240.159,247.223,253.546
109.906,232.705,247.502,246.315
108.529,219.457,246.844,242.344
106.856,208.437,245.795,236.808
104.803,191.790,246.117,225.828
103.193,179.509,245.643,225.855
102.176,171.628,246.150,222.028
101.972,165.670,247.134,217.050
102.839,159.536,247.967,213.711
104.688,159.354,248.869,209.482
106.588,146.310,250.519,204.055
112.092,125.538,251.355,200.428
nan,nan,252.375,197.166
nan,nan,257.094,187.507
nan,nan,254.466,196.821
nan,nan,257.333,184.088
nan,nan,257.789,181.868
nan,nan,260.790,178.762
nan,nan,300.711,152.573
nan,nan,302.491,152.961
nan,nan,303.378,153.175
nan,nan,310.153,156.132
nan,nan,311.959,156.283
nan,nan,313.188,156.308
nan,nan,311.544,152.931
nan,nan,320.830,155.396
nan,nan,325.755,156.449
nan,nan,323.653,152.535
nan,nan,324.456,152.483
nan,nan,325.844,152.361
nan,nan,340.661,157.402
nan,nan,346.889,157.560
nan,nan,352.920,157.660
nan,nan,360.262,158.040
nan,nan,365.006,158.083
nan,nan,369.305,158.362
nan,nan,374.239,158.633
nan,nan,377.809,158.828
nan,nan,380.216,158.896
nan,nan,385.040,158.993
380.875,49.047,388.683,159.488
371.587,55.615,392.348,159.574
362.244,59.719,399.965,160.199
355.094,64.396,403.972,160.425
348.432,69.510,407.997,160.292
332.489,83.393,413.853,160.871
328.946,85.799,418.712,160.055
325.404,88.204,423.572,159.239
321.862,90.610,428.431,158.423
318.320,93.015,433.290,157.607
314.777,95.421,438.150,156.792
311.235,97.826,443.009,155.976
307.693,100.232,447.868,155.160
304.151,102.637,452.727,154.344
300.608,105.043,457.587,153.528
297.066,107.448,462.446,152.712
293.524,109.854,467.305,151.897
289.982,112.259,472.165,151.081
292.904,110.458,501.352,150.876
291.441,118.853,502.615,151.201
286.700,117.863,504.958,151.343
nan,nan,507.891,151.110
nan,nan,507.783,151.316
nan,nan,508.602,151.262
nan,nan,514.036,150.696
nan,nan,518.206,150.089
nan,nan,520.323,149.888
nan,nan,521.909,149.880
nan,nan,527.802,149.658
nan,nan,532.351,149.591
nan,nan,534.867,149.505
nan,nan,539.515,149.037
nan,nan,542.934,148.880
nan,nan,545.987,148.713
nan,nan,552.421,148.789
nan,nan,567.798,148.480
nan,nan,575.165,150.617
nan,nan,578.332,150.997
nan,nan,584.513,152.474
nan,nan,587.571,153.903
nan,nan,600.701,156.359
nan,nan,609.937,158.976
nan,nan,620.332,161.846
nan,nan,628.627,164.655
nan,nan,637.061,168.209
nan,nan,645.927,171.164
152.661,254.009,652.561,173.304
156.605,254.919,658.036,174.654
157.930,256.591,664.268,176.476
158.958,258.063,669.201,177.879
164.123,256.922,674.203,179.440
nan,nan,681.589,180.842
nan,nan,686.770,182.141
124.512,301.004,692.750,183.787
124.528,307.780,699.899,185.654
125.542,313.576,705.216,186.793
128.452,319.045,711.379,188.785
132.865,324.036,717.256,190.202
nan,nan,746.879,198.623
nan,nan,750.419,199.195
128.014,360.991,754.650,199.771
147.915,344.302,758.063,200.223
150.862,347.993,761.646,201.037
153.370,351.835,764.238,201.753
155.263,354.232,767.249,202.310
156.743,358.712,770.146,202.904
159.099,361.017,773.202,203.613
160.667,364.286,776.360,204.141
160.806,368.279,781.997,205.405
161.358,371.483,790.177,206.046
161.695,375.233,791.479,206.994
162.089,378.536,804.328,209.729
163.074,381.575,810.588,209.171
163.461,384.417,826.668,209.697
164.312,386.736,845.920,210.054
165.192,388.850,864.050,211.145
166.687,389.900,880.948,212.837
167.786,392.268,895.143,214.486
167.690,395.978,911.653,216.467
167.796,399.733,925.224,217.925
168.257,402.728,938.202,219.346
168.448,406.729,954.485,221.819
168.936,409.652,967.825,226.017
169.822,413.236,980.722,227.992
170.796,413.737,991.219,230.379
170.602,417.951,1001.914,231.495
168.527,431.220,1012.345,232.033
167.642,437.892,1023.590,232.813
168.203,439.131,1032.778,233.754
170.744,438.864,1043.379,234.537
169.723,441.595,1052.767,235.436
164.873,448.485,1061.428,236.545
161.451,451.064,1070.185,237.655
159.055,452.785,1079.117,237.872
153.879,458.303,1088.856,239.073
152.628,459.726,1096.721,239.683
153.876,460.830,1105.225,241.247
154.849,461.719,1123.858,246.773
154.848,462.950,1143.350,248.453
154.514,464.180,1151.114,249.360
153.080,466.045,1157.175,253.736
150.725,468.906,1163.501,263.638
156.288,468.192,1170.427,279.604
145.513,475.158,1165.521,265.894
145.853,479.593,1166.706,276.785
143.929,486.263,1164.981,288.443
146.299,488.269,1162.448,297.648
141.476,494.256,1156.406,313.056
142.757,496.002,1152.249,320.291
144.076,497.584,1147.326,327.254
146.450,498.273,1143.790,332.436
147.001,499.572,1140.739,336.545
149.323,499.379,1137.446,341.822
145.470,502.632,1127.961,355.553
149.103,502.117,1122.162,364.113
153.821,500.287,1117.893,370.374
157.694,499.611,1107.131,382.978
160.221,498.545,1105.477,383.509
164.150,495.469,1099.228,387.278
163.182,494.221,1095.376,394.954
165.804,494.519,1083.770,404.310
170.863,492.740,1066.048,410.373
168.179,500.117,1049.805,413.210
172.846,502.774,1025.437,413.913
175.989,515.968,1013.432,414.354
180.886,523.404,1001.259,414.633
185.662,528.898,986.494,414.790
188.834,530.170,972.787,414.723
192.364,532.710,959.143,414.376
195.895,534.275,945.941,414.074
201.995,540.342,934.053,413.793
204.848,541.205,922.419,413.214
210.835,558.814,911.811,412.849
214.717,560.532,900.157,412.898
218.962,560.004,890.024,412.641
224.596,559.030,879.349,412.250
230.908,556.887,869.006,412.193
236.211,555.635,857.746,411.388
237.958,553.272,846.298,410.674
245.766,561.955,836.706,410.246
261.637,575.945,826.758,409.749
282.519,591.058,816.174,408.938
297.729,592.514,805.817,408.487
314.611,592.602,797.242,408.167
330.504,594.078,787.930,407.548
346.902,593.825,780.265,406.922
360.304,593.510,772.108,406.460
372.599,592.992,762.555,405.741
383.048,592.290,755.506,405.237
391.317,591.845,747.565,404.707
401.136,591.507,738.503,403.053
409.098,591.247,729.156,401.821
416.738,591.094,722.546,401.123
422.715,590.825,715.537,402.081
430.569,590.371,706.595,399.186
440.943,589.995,688.331,397.335
450.340,589.828,681.124,396.558
457.994,589.117,662.021,393.071
467.414,588.469,644.625,387.059
475.411,588.698,631.855,383.979
488.790,588.523,615.464,377.177
497.859,588.771,603.207,372.592
505.526,588.795,591.777,368.423
509.058,588.056,582.699,365.066
514.923,588.245,571.809,361.739
521.318,588.249,559.689,358.216
529.425,588.309,547.141,354.690
535.455,588.241,535.255,351.891
540.640,587.596,520.652,348.443
554.251,589.400,512.997,346.523
564.868,587.966,504.152,344.154
575.056,583.338,495.904,343.041
592.736,568.706,484.442,341.118
598.149,553.211,477.227,339.893
595.693,544.307,469.319,339.072
589.716,533.026,458.528,338.128
586.735,524.259,450.433,337.558
581.549,513.420,442.932,336.838
578.535,504.599,432.407,336.443
574.388,494.648,425.938,335.853
569.942,485.761,413.113,336.178
562.811,472.332,404.390,336.145
563.512,473.192,395.252,336.151
557.674,462.692,386.868,336.470
552.598,452.525,377.487,337.093
549.823,447.289,377.600,336.413
543.913,437.501,372.446,337.303
536.493,425.886,358.828,339.705
529.072,414.271,345.211,342.106
526.916,410.540,343.305,343.038
523.007,405.085,340.168,345.656
520.936,400.824,332.272,353.295
513.235,390.716,321.984,364.786
508.371,383.492,318.936,370.774
504.694,378.189,319.111,368.141
501.247,372.810,317.397,372.406
497.465,367.496,316.088,372.820
493.344,361.152,314.272,378.031
489.809,356.004,313.724,383.647
486.026,350.464,313.431,392.592
476.301,338.576,312.894,395.475
472.955,333.651,313.300,399.483
476.167,335.709,311.683,402.653
472.935,331.161,312.933,408.065
470.031,326.656,313.368,411.047
465.204,320.401,312.069,413.929
462.854,316.636,317.773,428.857
460.216,312.905,318.977,431.179
457.301,308.864,321.208,432.835
454.755,305.529,323.236,435.095
450.300,300.128,322.600,436.735
441.440,289.960,327.721,441.013
442.759,290.579,331.693,445.187
435.826,282.596,334.274,447.547
434.003,280.239,337.566,449.756
431.416,277.077,340.276,452.153
427.088,271.875,351.551,460.319
424.397,268.338,353.933,462.183
421.892,265.636,355.364,463.347
419.404,262.672,360.877,465.075
416.951,259.682,355.712,464.298
414.871,257.278,361.610,465.291
413.241,255.686,367.879,467.554
411.732,254.093,372.354,469.678
410.202,252.582,382.640,471.252
409.572,252.385,388.171,472.286
406.492,248.921,394.521,471.450
403.997,246.275,399.289,470.535
402.217,244.545,402.319,469.413
400.248,242.695,405.126,469.073
399.468,242.109,406.958,468.681
396.791,239.812,412.491,468.292
393.424,236.800,417.899,467.284
390.723,234.263,423.600,465.281
377.635,219.120,428.190,463.894
379.363,221.407,428.718,463.972
367.823,206.815,432.230,463.122
nan,nan,435.133,462.421
nan,nan,439.044,461.147
nan,nan,443.222,459.849
304.523,153.479,450.386,456.845
302.531,152.808,453.501,455.908
299.592,151.990,457.913,454.279
293.771,151.187,460.581,453.392
287.873,150.498,463.375,452.632
278.887,149.349,466.088,451.647
270.479,148.855,470.239,450.156
266.961,148.787,473.668,448.954
263.863,149.317,477.452,447.376
253.130,149.361,480.236,446.374
247.810,149.209,482.947,445.244
235.896,150.763,484.806,444.492
212.381,154.891,487.444,443.339
191.800,159.922,491.311,441.596
185.944,163.343,494.395,440.242
178.945,168.766,498.150,438.517
168.814,174.482,502.773,433.802
159.690,181.752,503.950,433.174
144.150,195.241,510.262,429.507
138.439,203.215,514.090,426.857
135.663,208.913,519.410,423.695
133.523,214.749,522.701,419.232
131.447,220.466,524.004,416.371
131.484,224.169,521.861,409.033
131.481,228.684,520.211,401.662
132.227,234.091,517.602,394.478
nan,nan,514.502,387.204
nan,nan,510.284,378.175
127.535,266.426,506.345,371.726
127.918,272.987,503.109,368.058
125.022,286.424,500.003,364.729
126.594,304.806,496.517,360.488
129.656,318.838,493.084,356.448
132.347,330.269,489.318,352.053
134.694,337.720,485.843,348.295
136.805,345.071,480.280,342.015
139.755,360.489,476.169,337.895
142.119,369.999,469.891,330.953
144.219,381.081,466.103,327.223
147.925,399.740,461.697,322.697
149.714,413.363,457.381,318.894
154.126,411.296,451.927,312.895
156.151,414.208,448.037,309.305
159.859,418.343,443.987,305.823
163.125,418.998,439.485,301.207
167.469,415.399,435.953,298.273
166.543,416.208,433.530,296.034
166.075,413.030,430.785,293.883
166.179,409.706,427.127,290.851
150.847,405.334,423.200,287.416
148.188,401.330,416.249,282.553
146.734,397.155,418.576,286.471
145.656,394.675,414.046,281.697
141.756,390.077,406.267,275.405
129.528,379.340,399.297,271.504
124.923,372.843,390.533,266.587
121.572,367.306,384.254,264.707
119.168,360.538,370.304,257.246
120.602,357.497,363.265,254.846
117.009,348.394,357.390,253.381
112.702,334.501,352.439,252.797
111.525,324.896,346.861,252.144
110.536,316.726,340.710,251.055
109.010,305.087,330.559,249.243
108.084,298.094,323.539,248.623
107.252,291.557,318.401,247.984
106.236,284.848,313.409,247.623
99.800,242.066,305.929,246.602
98.646,238.797,297.315,245.431
97.711,235.804,290.017,244.254
96.749,232.857,283.601,243.307
95.712,229.385,277.076,241.128
94.799,226.231,273.015,241.188
99.377,243.768,268.357,241.169
93.289,220.238,262.648,240.652
93.066,217.754,257.781,240.102
92.838,213.177,251.066,239.526
92.742,209.012,245.414,238.910
94.715,204.344,241.887,238.417
96.689,199.676,238.360,237.924
nan,nan,234.833,237.432
nan,nan,231.306,236.939
nan,nan,227.779,236.446
nan,nan,224.253,235.953
nan,nan,220.726,235.461
nan,nan,217.199,234.968
nan,nan,213.672,234.475
nan,nan,210.145,233.982
nan,nan,206.618,233.489
nan,nan,203.091,232.997
nan,nan,199.564,232.504
120.368,143.664,205.436,232.039
122.341,138.996,211.307,231.575
124.926,138.762,214.052,231.634
129.084,137.891,210.189,231.340
123.208,135.649,207.761,231.961
130.959,134.861,207.548,231.905
132.435,133.903,208.311,232.246
132.350,131.626,210.480,232.494
133.380,130.516,210.867,230.990
135.279,129.674,211.226,230.717
135.379,128.597,197.853,227.102
136.662,128.012,198.472,227.488
147.006,129.108,206.716,229.685
149.933,128.831,201.632,229.960
151.188,127.884,199.085,228.792
132.375,122.489,192.622,232.866
129.612,118.172,194.328,235.253
137.336,114.761,197.737,236.472
164.661,124.713,189.866,246.950
191.986,134.664,181.996,257.429
77.355,56.990,183.666,207.786
81.780,53.104,186.771,211.881
87.529,51.747,189.945,216.630
91.129,50.780,188.820,216.695
94.079,49.997,189.346,225.507
99.411,51.426,190.380,228.634
104.743,52.856,191.414,231.760
110.075,54.285,192.448,234.887
109.000,53.000,195.591,242.511
nan,nan,198.733,250.134
nan,nan,201.875,257.758
nan,nan,205.017,265.381
nan,nan,207.778,268.994
nan,nan,215.113,286.319
nan,nan,217.597,289.269
nan,nan,219.529,291.023
nan,nan,221.175,292.980
nan,nan,221.792,293.351
nan,nan,223.605,293.605
nan,nan,227.048,293.319
nan,nan,228.471,294.133
nan,nan,233.834,294.745
nan,nan,237.000,298.000
nan,nan,244.000,298.000
nan,nan,235.591,296.655
nan,nan,230.326,298.856
nan,nan,232.186,297.957
nan,nan,236.114,298.700
nan,nan,228.200,292.263
nan,nan,213.521,290.009
nan,nan,208.203,284.112
nan,nan,207.746,280.379
nan,nan,205.502,276.229
nan,nan,200.222,270.208
nan,nan,198.394,266.346
nan,nan,198.866,262.988
nan,nan,192.980,257.519
nan,nan,185.744,249.846
nan,nan,182.819,245.232
